Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Eunica monima	1.161	1	0.0166666666666667	-0.7	0.233333333333333	0.06088	0.0003548	10.322	10.322	1.35	-0.23916	2.903	3.142	-4.382	-17.26	16.306	31.83	NA	5	26	1993	2018
Eunica tatila	1.404	0.8	0.333333333333333	-0.8	0.333333333333333	0.1091	0.0001754	53.42	53.42	1.976	-0.6653	4.73	5.395	0.9632	-9.257	12.19	23.05	NA	5	26	1993	2018
Euphilotes battoides	1.296	-0.068695652173913	0.749352990993542	-0.557391304347826	0.00533630553038081	2.337	0.8547	6.249	5.342	0.5185	0.07487	0.9685	0.8939	0.1912	-5.961	6.6583	12.084	NA	27	26	1993	2018
Euphilotes enoptes	1.113	0.919758064516129	4.00021587845328e-08	-0.559677419354839	0.00127681952435264	1.546	0.45	4.988	4.527	0.5536	0.04175	0.9848	0.9235	-0.34335	-5.517	6.1267	12.287	NA	34	26	1993	2018
Euphilotes rita	121.501	1	1	-1	1	0.2491	3.381e-09	47489539	47489539	0.3993	-4.891	5.404	10.3	-1.79	-23.09	25.44	48.53	NA	2	24	1993	2018
Euphydryas chalcedona	0.941	0.78866930171278	0	0.24532279314888	0.104304896463774	12.15	3.773	36.18	32.65	0.17024	-0.4708	0.7644	1.2614	3.7093	-7.188	15.169	21.39	NA	51	26	1993	2018
Euphydryas editha	1.028	0.861038961038961	0	-0.181818181818182	0.428496061373743	1.126	0.1849	6.817	6.629	0.5093	-0.14765	1.11	1.291	-2.9682	-11.085	7.078	17.07	NA	23	26	1993	2018
Euphydryas gillettii	1.868	1	1	-1	1	0.4462	0.0010035	179.3	179.3	1.472	-1.789	4.796	6.585	0.68191	-8.912	12.798	21.71	NA	2	25	1993	2018
Euphydryas phaeton	1.093	0.837872855278326	0	0.032819838615946	0.735589137562844	4.309	2.262	8.116	5.854	0.30739	-0.151	0.7374	0.9382	1.5932	-5.28	9.149	13.634	NA	129	26	1993	2018
Euphyes arpa	3.696	0.969040247678019	7.43374267005337e-06	-0.750257997936017	0.000506682798635152	0.1117	0.02696	0.4528	0.4251	1.0347	0.4974	1.528	1.056	-0.4381	-5.41	5.377	10.809	NA	22	26	1993	2018
