Site	Lat	Lon	Merge
Colchester, VT.	44.53	-73.17	NA
Cold Lake, AB, Canada.	54.48	-110.29	NA
College Station Area	30.5671	-96.2116	NA
College Station, TX.	30.67	-96.37	NA
Colorado Bend State Park, TX.	31.07	-98.8	NA
Colt Creek	28.3128	-82.0558	NA
Colter Canyon, Grant Teton National Park, WY.	43.93	-110.73	NA
Compton Co.	45.3333	-71.75	NA
Concan, TX.	29.5	-99.73	NA
Concord, MA.	42.4333	-71.4167	NA
Conroe, TX.	30.285	-95.444	NA
Conway, SC.	33.82	-79	NA
Cook County, MN. #2	47.78	-93.53	NA
Copenhagen Hills WMA	32.1157	-92.3465	NA
Coral Gables, FL.	25.7051	-80.269	NA
Cornucopia, WI.	46.8037	-91.0932	NA
Corpus Christi, TX.	27.75	-97.25	NA
Cosumnes River, CA.	38.3503	-121.4358	NA
Cottonwood Pass, Gunnison-Chaffee Counties, CO.	38.83	-106.41	NA
Cottonwood Spring, CA.	33.7441	-115.8173	NA
Cottonwood	34.738	-112.0353	NA
Cowichan Valley, BC, Canada.	48.9	-123.85	NA
Coyote Lake, AB, Canada.	53.2	-114.56	NA
Crane Meadows, NE.	40.82	-98.43	NA
Craters of the Moon, ID.	43.43	-113.62	NA
Crex Meadows, WI.	45.8455	-92.6062	NA
Croatan National Forest, NC.	34.87	-76.98	NA
Crooked Creek	36.2667	-92.6167	NA
Crown Colony, TN.	36.58	-82.38	NA
Cuivre River State Park, MO.	39.08	-90.98	NA
Cumberland Co.	39.3325	-75.2004	NA
Cumberland, RI.	41.98	-71.48	NA
Cypress Hills Park, SK.	49.62	-109.53	NA
Cypress Hills Provincial Park, AB, Canada.	49.63	-110.25	NA
Daingerfield, TX.	33.03	-94.72	NA
Dallas County Lepidopterists' Society, TX.	32.98	-97.02	NA
Dallas County, TX.	32.78	-96.62	NA
Danciger, TX.	29.15	-95.7167	NA
Danville, VA.	36.59	-79.39	NA
Darby Creek, OH.	39.9	-83.23	NA
Dardenelles, CA.	38.3411	-119.8333	NA
Dare County - Mainland, NC.	35.73	-75.87	NA
Darwell, AB, Canada	53.72	-114.66	NA
Davidson Co.	35.799	-80.335	NA
Davie County, NC.	35.92	-80.52	NA
Davis Mountains, TX.	30.63	-104.02	NA
Davy Crockett National Forest, TX.	31.33	-94.25	NA
Dearborn, MI.	42.32	-83.22	NA
Decatur Co., TN.	35.6278	-88.0338	NA
Deep Portage, MN.	46.8995	-94.3849	NA
DeKalb Co.	36	-85.8167	NA
Delaware Co.	40.3833	-83.05	NA
Delaware County, IN.	40.2	-85.4	NA
Delaware County, PA.	39.93	-75.35	NA
Delmarva Tip, VA.	37.2024	-75.9576	NA
Delta National Forest, MS.	32.7597	-90.7558	NA
DeSoto National Forest, MS.	30.85	-88.98	NA
Devil's Hammock, FL.	29.3112	-82.6979	NA
Devon-Calmar, AB, Canada	53.34	-113.85	NA
Dinosaur Provincial Park, AB, Canada	50.76	-111.52	NA
Dismal Swamp State Park	36.4558	-76.4437	NA
Dismal Swamp, VA.	36.6718	-76.483	NA
Disney Wilderness Preserve, FL.	28.124	-81.4082	NA
Dobbs Run Ranch	29.6357	-100.4184	NA
Doughton Park	36.38	-81.16	NA
Dow Mountain, WA.	47.43	-123.18	NA
Dry Island Buffalo Jump, AB, Canada	51.92	-113	NA
Dubuque, IA.	42.4833	-90.7	NA
Duck Mountain Park, SK, Canada	51.67	-101.75	NA
Duke Farms, NJ.	40.6096	-74.6891	NA
Dundee	41.9874	-83.6785	NA
Durham, NC.	36.0935	-78.9008	NA
Duval County, TX.	27.75	-98.5	NA
Eagle Summit, AK.	65.52	-145.37	NA
East Bedford Co.	40.1167	-78.6167	NA
East Glastonbury, CT.	41.6667	-72.5333	NA
East Haddam, CT.	41.48	-72.4	NA
East Windsor	41.9111	-72.5573	NA
Eastend, SK, Canada.	49.55	-108.83	NA
Eastern Catskills	42.0565	-74.0298	NA
Eastern Fairfield/Western New Haven County, CT.	41.32	-73.2	NA
Eastern Halifax Co.	36.1426	-77.2991	NA
Edgewood (Clearwater), BC, Canada.	49.78	-118.15	NA
Edinburg World Birding Center, TX.	26.33	-98.16	NA
Edison &amp; Ford Winter Estates	26.607	-81.9136	NA
Edmonton, AB, Canada.	53.48	-113.55	NA
Eglin Air Force Base, FL.	30.45	-86.55	NA
El Canelo, TX.	26.57	-97.88	NA
El Dorado Lake, KS.	37.85	-96.83	NA
El Dorado Nature Center, CA.	33.8095	-118.0869	NA
El Dorado Springs, MO.	37.75	-94	NA
Eliot Pratt Education Center, CT.	41.5	-73.47	NA
Elizabethton, TN.	36.3626	-82.1324	NA
Elizabethtown, NY.	44.22	-73.6	NA
Elizabethville, PA.	40.57	-76.83	NA
Elk Island, AB, Canada.	53.68	-112.85	NA
Elliott Key, FL.	25.4161	-80.2043	NA
Elsberry	39.1556	-90.783	NA
EMEND, AB, Canada.	56.73	-118.33	NA
Emmet and Cheboygan Counties, MI.	45.4345	-84.7508	NA
Emporium, PA.	41.58	-78.18	NA
Enchanted Forest Sanctuary &amp; Pine Island	28.4578	-80.742	NA
Erie Co.	41.3333	-82.5667	NA
Escalante Desert	38.2	-113.25	NA
Essex County, VT.	44.76	-71.73	NA
Eugene, OR.	44.0335	-123.0886	NA
Fairfield, IA.	41.02	-91.95	NA
Fairhope, AL.	30.53	-87.83	NA
Falcon Woodlands, TX.	26.5	-99.08	NA
Fall City, WA.	47.57	-121.92	NA
Falling Waters, FL.	30.7463	-85.5098	NA
Falmouth, MA.	41.6095	-70.585	NA
Farmington Hills, MI.	42.4697	-83.3748	NA
Farmington Valley, CT.	41.8169	-72.8674	NA
Faulkner/Pulaski Counties	34.9017	-92.3983	NA
Fauquier County, VA.	38.58	-77.75	NA
Fenelon Falls	44.5667	-78.7167	NA
Fennessey Ranch	28.23	-97.2432	NA
Fields Pond Audubon Center, ME.	44.7384	-68.7277	NA
Fincastle, VA.	37.5122	-79.8806	NA
Finger Lakes National Forest, NY.	42.529	-76.7908	NA
Five Valleys, MT.	46.9145	-114.0312	NA
Flagler Co. Northeast	29.5539	-81.2187	NA
Flamingo, Everglades National Park, FL.	25.1833	-80.85	NA
Flint Hills	38.435	-96.5608	NA
Florida Caverns State Park, FL.	30.811	-85.2239	NA
Folsom, LA.	30.63	-90.18	NA
Fontenelle Forest Nature Center, NE.	41.17	-95.88	NA
Forman-Kleinpeter, LA.	30.37	-91.03	NA
Forsyth Co.	36.1369	-80.2936	NA
Fort Belvoir, VA.	38.78	-77.25	NA
Fort Collins, CO.	40.57	-105.08	NA
Fort Davis, TX.	30.5889	-103.8945	NA
Fort Hood, TX.	31.2039	-97.6381	NA
Fort Polk	31.0811	-93.0585	NA
Fort Qu'Appelle, SK, Canada.	50.7696	-103.7836	NA
Fort Saskatchewan, AB, Canada.	53.94	-113.16	NA
Four Canyon Preserve, OK.	36.02	-99.5	NA
Four Corners, WY.	44.08	-104.14	NA
Fox River-Seney, MI.	46.35	-85.95	NA
Foxboro, MA.	42.08	-71.25	NA
Francis Marion National Forest, SC.	33.1408	-79.4754	NA
